eid,fname,lname,phone_number,hire_date,job_id,salary,dept_id,country
100,Steven,King,515.123.4567,2023-07-01,AD_PRES,24000,90,US
101,Neena,Kochhar,515.123.4568,2023-07-01,AD_VP,17000,90,US
102,Lex,De Haan,515.123.4569,2023-07-01,AD_VP,17000,90,IN
103,Alexander,Hunold,590.423.4567,2023-07-01,IT_PROG,9000,60,US
104,Bruce,Ernst,590.423.4568,2023-07-01,IT_PROG,6000,60,US
105,David,Austin,590.423.4569,2023-07-01,IT_PROG,4800,60,US
106,Valli,Pataballa,590.423.4560,2023-07-01,IT_PROG,4800,60,IN
107,Diana,Lorentz,590.423.5567,2023-07-01,IT_PROG,4200,60,IN
108,Nancy,Greenberg,515.124.4569,2023-07-01,FI_MGR,12000,100,US
109,Daniel,Faviet,515.124.4169,2023-07-01,FI_ACCOUNT,9000,100,US
110,John,Chen,515.124.4269,2023-07-01,FI_ACCOUNT,8200,100,US
111,Ismael,Sciarra,515.124.4369,2023-07-01,FI_ACCOUNT,7700,100,IN
112,Jose Manuel,Urman,515.124.4469,2023-07-01,FI_ACCOUNT,7800,100,IN
113,Luis,Popp,515.124.4567,2023-07-01,FI_ACCOUNT,6900,100,US
114,Den,Raphaely,515.127.4561,2023-07-01,PU_MAN,11000,30,US
115,Alexander,Khoo,515.127.4562,2023-07-01,PU_CLERK,3100,30,US
116,Shelli,Baida,515.127.4563,2023-07-01,PU_CLERK,2900,30,US
117,Sigal,Tobias,515.127.4564,2023-07-01,PU_CLERK,2800,30,US
118,Guy,Himuro,515.127.4565,2023-07-01,PU_CLERK,2600,30,IN
119,Karen,Colmenares,515.127.4566,2023-06-01,PU_CLERK,2500,30,IN
120,Matthew,Weiss,650.123.1234,2023-06-01,ST_MAN,8000,50,US
121,Adam,Fripp,650.123.2234,2023-06-01,ST_MAN,8200,50,US
122,Payam,Kaufling,650.123.3234,2023-06-01,ST_MAN,7900,50,US
123,Shanta,Vollman,650.123.4234,2023-06-01,ST_MAN,6500,50,IN
124,Kevin,Mourgos,650.123.5234,2023-06-01,ST_MAN,5800,50,IN
125,Julia,Nayer,650.124.1214,2023-06-01,ST_CLERK,3200,50,US
126,Irene,Mikkilineni,650.124.1224,2023-06-01,ST_CLERK,2700,50,US
127,James,Landry,650.124.1334,2023-06-01,ST_CLERK,2400,50,US
128,Steven,Markle,650.124.1434,2023-06-01,ST_CLERK,2200,50,US
129,Laura,Bissot,650.124.5234,2023-06-01,ST_CLERK,3300,50,US
130,Mozhe,Atkinson,650.124.6234,2023-06-01,ST_CLERK,2800,50,US
131,James,Marlow,650.124.7234,2023-06-01,ST_CLERK,2500,50,US
132,TJ,Olson,650.124.8234,2023-06-01,ST_CLERK,2100,50,US
133,Jason,Mallin,650.127.1934,2023-06-01,ST_CLERK,3300,50,US
134,Michael,Rogers,650.127.1834,2023-06-01,ST_CLERK,2900,50,US
135,Ki,Gee,650.127.1734,2023-06-01,ST_CLERK,2400,50,US
136,Hazel,Philtanker,650.127.1634,2023-06-01,ST_CLERK,2200,50,US
137,Renske,Ladwig,650.121.1234,2023-06-01,ST_CLERK,3600,50,IN
138,Stephen,Stiles,650.121.2034,2023-06-01,ST_CLERK,3200,50,IN
139,John,Seo,650.121.2019,2023-06-01,ST_CLERK,2700,50,IN
140,Joshua,Patel,650.121.1834,2023-06-01,ST_CLERK,2500,50,IN
141,Trenna,Rajs,650.121.8009,2023-06-01,ST_CLERK,3500,50,IN
142,Curtis,Davies,650.121.2994,2023-06-01,ST_CLERK,3100,50,IN
143,Randall,Matos,650.121.2874,2023-06-01,ST_CLERK,2600,50,IN
144,Peter,Vargas,650.121.2004,2023-06-01,ST_CLERK,2500,50,IN
145,John,Russell,011.44.1344.429268,2023-06-01,SA_MAN,14000,80,US
146,Karen,Partners,011.44.1344.467268,2023-06-01,SA_MAN,13500,80,US
147,Alberto,Errazuriz,011.44.1344.429278,2023-06-01,SA_MAN,12000,80,US
148,Gerald,Cambrault,011.44.1344.619268,2023-06-01,SA_MAN,11000,80,IN
149,Eleni,Zlotkey,011.44.1344.429018,2023-05-05,SA_MAN,10500,80,IN
150,Peter,Tucker,011.44.1344.129268,2023-05-05,SA_REP,10000,80,US
151,David,Bernstein,011.44.1344.345268,2023-05-05,SA_REP,9500,80,US
152,Peter,Hall,011.44.1344.478968,2023-05-05,SA_REP,9000,80,US
153,Christopher,Olsen,011.44.1344.498718,2023-05-05,SA_REP,8000,80,US
154,Nanette,Cambrault,011.44.1344.987668,2023-05-05,SA_REP,7500,80,US
155,Oliver,Tuvault,011.44.1344.486508,2023-05-05,SA_REP,7000,80,US
156,Janette,King,011.44.1345.429268,2023-05-05,SA_REP,10000,80,US
157,Patrick,Sully,011.44.1345.929268,2023-05-05,SA_REP,9500,80,US
158,Allan,McEwen,011.44.1345.829268,2023-05-05,SA_REP,9000,80,US
159,Lindsey,Smith,011.44.1345.729268,2023-05-05,SA_REP,8000,80,US
160,Louise,Doran,011.44.1345.629268,2023-05-05,SA_REP,7500,80,US
161,Sarath,Sewall,011.44.1345.529268,2023-05-05,SA_REP,7000,80,US
162,Clara,Vishney,011.44.1346.129268,2023-05-05,SA_REP,10500,80,IN
163,Danielle,Greene,011.44.1346.229268,2023-05-05,SA_REP,9500,80,IN
164,Mattea,Marvins,011.44.1346.329268,2023-05-05,SA_REP,7200,80,IN
165,David,Lee,011.44.1346.529268,2023-05-05,SA_REP,6800,80,IN
166,Sundar,Ande,011.44.1346.629268,2023-05-05,SA_REP,6400,80,IN
167,Amit,Banda,011.44.1346.729268,2023-05-05,SA_REP,6200,80,IN
168,Lisa,Ozer,011.44.1343.929268,2023-05-05,SA_REP,11500,80,IN
169,Harrison,Bloom,011.44.1343.829268,2023-05-05,SA_REP,10000,80,IN
170,Tayler,Fox,011.44.1343.729268,2023-05-05,SA_REP,9600,80,IN
171,William,Smith,011.44.1343.629268,2023-05-05,SA_REP,7400,80,IN
172,Elizabeth,Bates,011.44.1343.529268,2023-05-05,SA_REP,7300,80,US
173,Sundita,Kumar,011.44.1343.329268,2023-05-05,SA_REP,6100,80,US
174,Ellen,Abel,011.44.1644.429267,2023-05-05,SA_REP,11000,80,US
175,Alyssa,Hutton,011.44.1644.429266,2023-05-05,SA_REP,8800,80,US
176,Jonathon,Taylor,011.44.1644.429265,2023-05-05,SA_REP,8600,80,US
177,Jack,Livingston,011.44.1644.429264,2023-05-05,SA_REP,8400,80,US
178,Kimberely,Grant,011.44.1644.429263,2023-05-05,SA_REP,7000,null,US
179,Charles,Johnson,011.44.1644.429262,2023-04-04,SA_REP,6200,80,US
180,Winston,Taylor,650.507.9876,2023-04-04,SH_CLERK,3200,50,IN
181,Jean,Fleaur,650.507.9877,2023-04-04,SH_CLERK,3100,50,IN
182,Martha,Sullivan,650.507.9878,2023-04-04,SH_CLERK,2500,50,IN
183,Girard,Geoni,650.507.9879,2023-04-04,SH_CLERK,2800,50,IN
184,Nandita,Sarchand,650.509.1876,2023-04-04,SH_CLERK,4200,50,IN
185,Alexis,Bull,650.509.2876,2023-04-04,SH_CLERK,4100,50,US
186,Julia,Dellinger,650.509.3876,2023-04-04,SH_CLERK,3400,50,US
187,Anthony,Cabrio,650.509.4876,2023-04-04,SH_CLERK,3000,50,US
188,Kelly,Chung,650.505.1876,2023-04-04,SH_CLERK,3800,50,US
189,Jennifer,Dilly,650.505.2876,2023-04-04,SH_CLERK,3600,50,US
190,Timothy,Gates,650.505.3876,2023-04-04,SH_CLERK,2900,50,US
191,Randall,Perkins,650.505.4876,2023-04-04,SH_CLERK,2500,50,US
192,Sarah,Bell,650.501.1876,2023-04-04,SH_CLERK,4000,50,US
193,Britney,Everett,650.501.2876,2023-04-04,SH_CLERK,3900,50,IN
194,Samuel,McCain,650.501.3876,2023-04-04,SH_CLERK,3200,50,IN
195,Vance,Jones,650.501.4876,2023-04-04,SH_CLERK,2800,50,IN
